code,name
301055,张小泉
002008,大族激光
601138,工业富联
603156,养元饮品
300866,安克创新
300433,蓝思科技
601975,招商南油
603688,石英股份
002475,立讯精密
000539,粤电力Ａ
000892,欢瑞世纪
002186,全聚德
600150,中国船舶
300015,爱尔眼科
000027,深圳能源
603155,新亚强
300628,亿联网络
002595,豪迈科技
605177,东亚药业
601669,中国电建
000100,TCL科技
000519,中兵红箭
688202,美迪西
600050,中国联通
000807,云铝股份
601886,江河集团
300274,阳光电源
002202,金风科技
002626,金达威
688286,敏芯股份
300418,昆仑万维
601728,中国电信
000725,京东方Ａ
600905,三峡能源
688416,恒烁股份
600977,中国电影
002457,青龙管业
600026,中远海能
300182,捷成股份
600750,华润江中
003816,中国广核
600795,国电电力
002050,三花智控
600027,华电国际
601018,宁波港
601615,明阳智能
600528,中铁工业
002174,游族网络
300364,中文在线
300127,银河磁体
601107,四川成渝
600340,*ST华幸
002345,潮宏基
301087,可孚医疗
600176,中国巨石
601360,三六零
002563,森马服饰
600100,同方股份
601599,浙文影业
600941,中国移动
000157,中联重科
600066,宇通客车
600765,中航重机
000333,美的集团
002044,美年健康
600897,厦门空港
603053,成都燃气
603237,五芳斋
600478,科力远
002984,森麒麟
600916,中国黄金
600619,海立股份
002398,垒知集团
002697,红旗连锁
300999,金龙鱼
600203,福日电子
601328,交通银行
600031,三一重工
601985,中国核电
600309,万华化学
600612,老凤祥
000159,国际实业
000422,湖北宜化
000488,ST晨鸣
000598,兴蓉环境
002027,分众传媒
002030,达安基因
300146,汤臣倍健
301083,百胜智能
601065,江盐集团
601919,中远海控
600036,招商银行
000651,格力电器
601838,成都银行
600004,白云机场
600039,四川路桥
600900,长江电力
600582,天地科技
002737,葵花药业
600867,通化东宝
603368,柳药集团
002511,中顺洁柔
600030,中信证券
603288,海天味业
601808,中海油服
601888,中国中免
000089,深圳机场
000538,云南白药
601333,广深铁路
002233,塔牌集团
601166,兴业银行
002216,三全食品
300298,三诺生物
601988,中国银行
603699,纽威股份
000541,佛山照明
002032,苏泊尔
601006,大秦铁路
600018,上港集团
600637,东方明珠
600887,伊利股份
600305,恒顺醋业
601668,中国建筑
000028,国药一致
600559,老白干酒
600839,四川长虹
603515,欧普照明
600479,千金药业
600332,白云山
600511,国药股份
600970,中材国际
600993,马应龙
600028,中国石化
600057,厦门象屿
601607,上海医药
002867,周大生
603012,创力集团
002594,比亚迪
601818,光大银行
601857,中国石油
002507,涪陵榨菜
600585,海螺水泥
600690,海尔智家
600009,上海机场
000423,东阿阿胶
600104,上汽集团
600519,贵州茅台
300144,宋城演艺
600398,海澜之家
601966,玲珑轮胎
000513,丽珠集团
603697,有友食品
002597,金禾实业
000963,华东医药
000625,长安汽车
002252,上海莱士
300059,东方财富
600779,水井坊
002223,鱼跃医疗
300979,华利集团
300676,华大基因
600109,国金证券
600600,青岛啤酒
605499,东鹏饮料
000001,平安银行
000848,承德露露
603587,地素时尚
000915,华特达因
603101,汇嘉时代
600436,片仔癀
600350,山东高速
002304,洋河股份
002120,韵达股份
000983,山西焦煤
300741,华宝股份
000926,福星股份
600298,安琪酵母
002003,伟星股份
000026,飞亚达
000858,五粮液
603180,金牌家居
002508,老板电器
002773,康弘药业
600048,保利发展
603026,石大胜华
603027,千禾味业
600323,瀚蓝环境
000661,长春高新
600660,XD福耀玻
003004,*ST声迅
300437,清水源
000568,泸州老窖
601318,中国平安
603889,新澳股份
600809,山西汾酒
300905,宝丽迪
002100,天康生物
605377,华旺科技
002650,ST加加
601601,中国太保
